id,title,url,date,topics,notes,thumb,ref_papers,ref_books,ref_talks,ref_datasets,ref_other,related
20251028-long,How ΛCDM Fakes the Cosmic Web,https://youtu.be/IfWYodUWJW4,2025-10-28,ΛCDM;Timeline;Structure Formation,"Cosmologists claim the Big Bang model predicts the vast cosmic web of galaxies,  but what if the web was built into the model from the start?
In this episode, we explore how simulations of the ΛCDM universe quietly force structure to appear: from Zel’dovich’s early geometric shortcuts to the artificial fixes that make dark matter filaments hold together.
The result isn’t a universe discovered through physics.  It’s one shaped by mathematical assumptions.",,The Hidden Role of Anisotropies in Shaping Structure Formation in Cosmological N-Body Simulations|https://arxiv.org/abs/2508.13765,,,,,20250504-long
20250930-long,The Anchor of Modern Cosmology Just Shattered,https://youtu.be/OywWThFmEII,2025-09-30,ΛCDM;CMBR;Quasar,"A new anomaly has shaken one of the cornerstones of modern cosmology.
The Cosmic Microwave Background (CMB) has long been used to anchor our motion through the universe. But new observations of quasar motions tell a different story — one that can’t be reconciled with the standard model (ΛCDM).",,"Singal, A. K. (2025). Solar peculiar motion inferred from dipole anisotropy in redshift distribution of quasars appears to lie along the Galactic Centre direction. Scientific Reports, 15, 31805.|https://arXiv.org/abs/2508.20769",,,SDSS DR17|https://www.sdss.org/,,20250637-long
20250920-long,The New Observation No Patch Can Cover Up,https://youtu.be/QJ7anmAee54,2025-09-20,ΛCDM;Redshift;Timeline,"A new astronomical observation is putting the Big Bang model under serious strain. For decades, cosmology has relied on adding “patches” — dark matter, dark energy, inflation — to cover problems in the theory. But this time, no patch seems enough. In this video, we’ll explore what the latest evidence means, why it challenges the foundations of the ΛCDM model, and whether it signals the need for a completely different way of understanding the universe.",,Mysteries of Capotauro -- investigating the puzzling nature of an extreme F356W-dropout|https://arxiv.org/abs/2509.01664,,,,,20250930-long;20250913-long
20250913-long,JWST’s Deepest Look Shatters the Big Bang Timeline,https://youtu.be/EOowNVML4_I,2025-09-13,ΛCDM;Redshift;Timeline,"The early universe was supposed to be dark, neutral, and simple — not filled with galaxies. Yet JWST may have found them anyway, deep in the so-called Dark Ages, just 110–120 million years after the Big Bang. If these extreme redshift candidates are real, they don’t just stretch the Big Bang model — they break it. Galaxies this early are too bright, too compact, too abundant, and far too soon for the timeline to handle.",,"Pérez-González et al. (2025) — The Rise of the Galactic Empire: Candidate z ~ 17–25 Galaxies from JWST MIRI Deep Imaging Survey and NGDEEP|https://arxiv.org/abs/2503.15594;Ferrara et al. (2025) — Primordial Black Holes as the Origin of Ultra-High Redshift (z ~ 25) Sources Detected by JWST|https://arxiv.org/abs/2503.18850;Fan, Carilli & Keating (2006) — Observational Constraints on Cosmic Reionization|https://arxiv.org/abs/astro-ph/0602375",,,,,20250624-long;20250920-long
20250830-long,The Force That Physics Erased: Ampère’s Forgotten Law,https://youtu.be/YHykWjtVdNM,2025-08-30,Physics;Magnetism;History,"We’re all taught that moving charges create magnetic fields. But 200 years ago, André-Marie Ampère discovered something deeper: a direct force law between currents — one that explained both attraction and repulsion without invoking fields at all. James Clerk Maxwell called it “one of the most brilliant achievements in science.” And yet, within a few decades, it was forgotten — replaced by the field-based picture of Faraday, Grassmann, Neumann, Lorentz, and finally Maxwell’s own equations.",,"Ampère, A.-M. (1822). Mémoire sur la théorie mathématique des phénomènes électrodynamiques, uniquement déduite de l’expérience. (English translation: André Koch Torres Assis, Ampère’s Electrodynamics, C. Roy Keys Inc., 2015).|http://www.ifi.unicamp.br/~assis/Amperes-Electrodynamics.pdf;Assis, A. K. T. (1994). Kirchhoff on the Propagation Velocity of Electrodynamic Actions.
Apeiron 19, 19–25. (Translation and commentary on Kirchhoff’s 1857 paper).;Graneau, P. (1985). Ampère–Neumann Electrodynamics of Metals. Hadronic Press.|https://archive.org/details/Ampere-NeumannElectrodynamicsOfMetals/mode/2up;Graneau, P., & Graneau, N. (1996). Newtonian Electrodynamics. World Scientific.|https://archive.org/details/NewtonianElectrodynamics/mode/2up;Graneau, N., & Graneau, P. (2006). In the Grip of the Distant Universe: The Science of Inertia. World Scientific.;Assis, A. K. T., & Graneau, P. (1994). Kirchoff on the Motion of Electricity in Conductors.|https://www.ifi.unicamp.br/~assis/Apeiron-V19-p19-25(1994).pdf;Graneau, N. (2025). Fundamental longitudinal electromagnetic (EM) force investigation using DC current.|https://arxiv.org/abs/2504.08749;DIE MATHEMATISCHEN GESETZE DER INDUCIRTEN ELEKTRISCHEN STRÖME VON FRANZ NEUMANN. (1845)|https://ia601603.us.archive.org/7/items/diemathematische00neumuoft/diemathematische00neumuoft.pdf",,,,André Assis translations|https://www.ifi.unicamp.br/~assis/,
20250802-long,The Filament Mystery at All Scales: A Problem for Modern Cosmology,https://youtu.be/o1cvo7NEtxQ,2025-08-02,Plasma;Plasma Cosmology;Structure Formation;MHD,"Across the cosmos, we see an extraordinary pattern: long, narrow filaments of gas and plasma stretching through space, in star-forming regions, around galaxies, and across the vast cosmic web. But there's a problem. These filaments appear at vastly different scales, yet they share strikingly similar properties: consistent width, coherence, and resilience. Standard cosmology struggles to explain them. Gravity alone shouldn't produce such thread-like structures, especially not ones that persist even as stars form along their length. And at the largest scales, theorists invoke invisible scaffolds of dark matter to hold the plasma in place, despite no direct observational evidence. In this episode, we explore why these cosmic filaments defy the standard model, how laboratory plasma experiments reveal a very different kind of self-organization, and what this might mean for how we understand the structure of the universe itself.",,"Arzoumanian, D., André, P., Didelon, P., et al. (2011). Characterizing interstellar filaments with Herschel in IC 5146 A&A, 529, L6. (→ Shows the consistent ~0.1 pc width of filaments in molecular clouds.)|https://doi.org/10.1051/0004-6361/201116596;André, P., Di Francesco, J., Ward-Thompson, D., et al. (2014).
From Filamentary Networks to Dense Cores in Molecular Clouds: Toward a New Paradigm for Star Formation
Protostars and Planets VI, 27–51.(→ Overview of star formation along filaments and their structural coherence.)|https://doi.org/10.2458/azu_uapress_9780816531240-ch002;Kukushkin, A. B., & Rantsev-Kartinov, V. A. (1998).
Structural features of plasma filaments in Z-pinch discharges and in cosmic phenomena
Laser and Particle Beams, 16(3), 445–464.(→ Details the multilevel dynamical contrasting technique and filamentary structures in Z-pinches.)|https://doi.org/10.1017/S0263034600009616; Rantsev-Kartinov, V. A. (2004).
Skeletal structures of the ocean, atmosphere and cosmic plasma (→ Broad proposal of filamentary networks across multiple environments.)|https://arxiv.org/abs/physics/0401139;Tempel, E., Stoica, R. S., Martínez, V. J., et al. (2014).
Detecting filamentary patterns in the cosmic web: a catalogue of filaments for the SDSS
MNRAS, 438(4), 3465–3482. (→ Filament detection on cosmological scales and structural coherence.)|https://doi.org/10.1093/mnras/stt2454;Libeskind, N. I., et al. (2018).
Tracing the cosmic web
MNRAS, 473(1), 1195–1217.(→ On the dynamical nature and connectivity of galactic-scale filaments.)|https://doi.org/10.1093/mnras/stx2349","Uman, M. A. (2001). The Lightning Discharge Dover Publications. → Comprehensive textbook on lightning physics and double-ended tree structure.;Rakov, V. A., & Uman, M. A. (2003).
Lightning: Physics and Effects
Cambridge University Press.
→ Covers polarity asymmetry and leader propagation behavior.",,,,20250720-long
20250720-long,How an Assumption Skewed Our Understanding of the Universe,https://youtu.be/_M2_ROX4FZE,2025-07-20,Plasma;Plasma Cosmology;Structure Formation;MHD,,,"Alfvén, H. (1986). Double Layers and Circuits in Astrophysics. IEEE Transactions on Plasma Science, 14(6), 779–793. [DOI: 10.1109/TPS.1986.4316621];Alfvén, H. & Carlqvist, P. (1978). Electric Double Layers in Astrophysics. Astrophysics and Space Science, 55, 487–491. [DOI: 10.1007/BF00642837];Alfvén, H. (1970). On Frozen-In Magnetic Fields. Royal Institute of Technology, Stockholm.
(Classic critique of the “frozen-in” concept.);Shull, J. M., Smith, B. D., & Danforth, C. W. (2012). The Baryon Census in a Multiphase Intergalactic Medium: 30% of the Baryons May Still Be Missing. Astrophysical Journal, 759(1), 23.
[DOI: 10.1088/0004-637X/759/1/23];Nicastro, F. et al. (2018). Observations of the Missing Baryons in the Warm–Hot Intergalactic Medium. Nature, 558, 406–409.
[DOI: 10.1038/s41586-018-0204-1];Vazza, F., Brüggen, M., et al. (2014). Filaments of the Radio Cosmic Web: Opportunities and Challenges for the SKA. Advances in Radio Science, 12, 219–226.
[DOI: 10.5194/ars-12-219-2014]","Alfvén, H. (1981). Cosmic Plasma. D. Reidel Publishing Company.
(Seminal book explaining his vision of cosmic circuits and plasma dynamics.);Peratt, A. L. (1992). Physics of the Plasma Universe. Springer. (Expanded version of plasma cosmology; includes his filament simulations and CMB discussion.)",,,,20250802-long
20250624-long,JWST’s Most Troubling Discovery Yet: Crisis at Cosmic Dawn,https://youtu.be/W7PgtIhmIgA,2025-06-24,ΛCDM;Redshift;Timeline,"The James Webb Space Telescope has just detected MoM-Z14 — a luminous, compact, chemically evolved galaxy that formed only 280 million years after the Big Bang. That’s far earlier than current models allow. In this video, we examine why this discovery is so problematic: • How could a galaxy this mature form so fast? • Why does it appear too bright, too compact, and too evolved for its time? • What does this mean for the Big Bang model — and for our understanding of cosmic history? We’ll also explore how this galaxy fits into a growing pattern of early JWST anomalies and why some believe we may be witnessing the limits of the standard cosmological framework.",,A Cosmic Miracle: A Remarkably Luminous Galaxy at z=14.44 Confirmed with JWST|https://arxiv.org/abs/2505.11263,,,,,20250920-long;20250913-long
20250607-long,New CMB Discovery Could Shatter the Big Bang Model,https://youtu.be/Xb69yPNgX-Q,2025-06-07,ΛCDM;Redshift;Timeline;CMBR,"A new mainstream paper just challenged the foundation of modern cosmology. To explain the bright, fully-formed galaxies seen at high redshift by JWST, researchers modeled rapid star formation in the early universe — only to find that the resulting radiation could account for most, or even all, of the cosmic microwave background (CMB). If true, this means the CMB may not be a relic of the Big Bang at all — but a local, reprocessed signal from galaxies. And if the CMB falls, so do the redshift ladder, the expansion timeline, and the justification for dark matter and dark energy. Is this just another patch? Or is it a sign the framework itself is cracking?",,The Impact of Early Massive Galaxy Formation on the Cosmic Microwave Background|https://arxiv.org/abs/2505.04687,,,,,
20250526-long,Collapsing the Superposition Narrative,https://youtu.be/tI_ZqrdUigI,2025-05-26,QM,"Is the quantum world really as strange as we've been told?

In this episode, we dive deep into one of the most misunderstood aspects of quantum mechanics — superposition, collapse, and spin entanglement — and reveal how the standard narrative may be more about interpretation than observation. What if the “weirdness” of quantum mechanics is actually a misunderstanding of analog behavior forced into a digital framework?

We revisit the famous photon polarizer experiments, the logic behind Malus’ Law, and the foundational assumptions of Bell’s Theorem. Along the way, we explore how field interactions and geometric coupling can reproduce the same experimental outcomes — without invoking metaphysical collapse or non-local effects.

This video challenges the idea that spin must be undefined until measurement, and instead offers a grounded alternative: that spin, like polarization, may be a real, structured interaction with the field — not a binary mystery collapsing into being.

If you’ve ever wondered whether quantum mechanics tells the whole story — or if there might be a simpler explanation hiding in plain sight — this is for you.",,"Bell, J. S. (1964). On the Einstein Podolsky Rosen paradox. Physics Physique Физика, 1(3), 195–200.|https://cds.cern.ch/record/111654/files/vol1p195-200_001.pdf;Clauser, J. F., Horne, M. A., Shimony, A., & Holt, R. A. (1969). Proposed Experiment to Test Local Hidden-Variable Theories. Physical Review Letters, 23(15), 880.|https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.23.880;Aspect, A., Dalibard, J., & Roger, G. (1982). Experimental Test of Bell's Inequalities Using Time‐Varying Analyzers.|https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.49.1804;Étienne-Louis Malus (1809). On the Law of Double Refraction by Reflection.
(Not available online easily — refer to optics textbooks or historical overviews);Loophole-free Bell inequality violation using electron spins separated by 1.3 kilometres.|https://www.nature.com/articles/nature15759;Significant-Loophole-Free Test of Bell’s Theorem with Entangled Photons.|https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.115.250401;Strong Loophole-Free Test of Local Realism.|https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.115.250402",,,,,
