id,title,url,date,topics,notes,thumb,ref_papers,ref_books,ref_talks,ref_datasets,ref_other,related
20260117-long,Two Different Universes from the Same Data,https://youtu.be/R6W7P7IHLbI,2026-01-17,ΛCDM;Timeline;Structure Formation,"Modern cosmology is built on a foundational assumption: that on large enough scales, the universe becomes homogeneous and matter settles into a well-defined average density.

A new generation of galaxy surveys has now tested that assumption directly.

Instead of assuming homogeneity and building models around it, these surveys measure how density behaves as scale increases and ask a simple question: does the universe actually settle into an average?

The answer is not based on a single structure or an isolated anomaly. Across the largest scales probed, structure persists where uniformity is expected, and the measured density does not clearly converge.

This creates a deeper problem than is often discussed. If average density depends on how and where it is measured, then concepts like a single cosmic background or a single global expansion rate become less automatic.

This video examines what the survey data actually shows, how it is normally interpreted in standard cosmology, and why testing homogeneity directly leads to a very different picture of the universe.

Not because the data is flawed, but because the assumption behind its interpretation is finally being questioned.",,"Francesco Sylos Labini et al. (2025). Galaxy correlations from the DESI survey: no transition to homogeneity up to 400 Mpc/h. arXiv:2511.21585. (→ Analyzes galaxy correlations using DESI data and finds no clear transition to homogeneity up to the largest scales probed.)|https://arxiv.org/abs/2511.21585
","Peebles, P. J. E. (1993). Principles of Physical Cosmology. Princeton University Press. (→ Standard reference outlining the cosmological principle and the assumption of large-scale homogeneity used in modern cosmology.)|https://press.princeton.edu/books/paperback/9780691209814/principles-of-physical-cosmology",,"DESI Collaboration. The Dark Energy Spectroscopic Instrument (DESI). Lawrence Berkeley National Laboratory. (→ Official project site describing the DESI survey, its goals, instrumentation, and large-scale structure measurements.)|https://www.desi.lbl.gov/",,20251028-long
20251221-long,"If This Is Right, Cosmology Is Asking the Wrong Question",https://youtu.be/KZx_vDWpOnU,2025-12-21,ΛCDM;CMBR;Alternative Cosmology;Physics,"For over a century, modern cosmology has been built around a familiar framework — expanding space, fixed constants, and a universe that began in a hot, dense state.
Yet for many, that picture has begun to feel increasingly strained.

This video explores an alternative way of thinking — not by tearing down existing physics, but by stepping outside the assumptions that quietly shape how we interpret it.",,"Unnikrishnan, C. S. (2012). Cosmic Relativity: A New Theory of Relativity. Foundations of Physics, 42, 1196–1216. (→ Formal introduction of Cosmic Relativity as a Machian reformulation of relativity grounded in the gravitational potential of the universe.)|https://doi.org/10.1007/s10701-012-9679-6;
Unnikrishnan, C. S. (2005). Is the Speed of Light a Universal Constant? Current Science, 88. (→ Examines whether the constancy of c emerges from cosmic boundary conditions rather than being a fundamental postulate.)|https://www.currentscience.ac.in/Volumes/88/10/1605.pdf;
Unnikrishnan, C. S. (2005). Mach’s Principle, Inertia and Gravitation. Current Science, 89. (→ Explores inertia as a relational property arising from interaction with the mass distribution of the universe.)|https://www.currentscience.ac.in/Volumes/89/12/2001.pdf;
",,,,"INSPIRE-HEP Author Profile: C. S. Unnikrishnan. (→ Curated database of publications and citations in high-energy physics and foundational theory.)|https://inspirehep.net/authors/993644;
Google Scholar Profile: C. S. Unnikrishnan. (→ Bibliographic index of published works, citations, and research impact.)|https://scholar.google.com/scholar?q=C.+S.+Unnikrishnan;
",20260104-long
20251206-long,The Cosmic Speed Problem Nobody Can Explain,https://youtu.be/R4uxL4FUU8M,2025-12-06,ΛCDM;CMBR;Redshift,"A new measurement of the Solar System’s motion just revealed something nobody expected: we’re moving far faster than the standard model of cosmology says we should be. And if this result is correct… it raises a problem far bigger than a single number.

In this video, we dive into the new radio-galaxy dipole study, compare it to the CMB dipole, and explore why the speed lines up in direction but not in magnitude. This mismatch has been quietly growing across multiple surveys, and now it’s becoming impossible to ignore.

Is this a catalogue issue? A misunderstanding of redshift?
Or a deeper flaw in how we think about the “cosmic rest frame” itself?

I’ll walk you through the evidence, the assumptions, and the implications for cosmology and why this might be one of the most important puzzles in modern astrophysics.
",,"Böhme, L et al (2025). Overdispersed Radio Source Counts and Excess Radio Dipole Detection. Phys. Rev. Lett. 135, 201001 – Published 10 November, 2025|https://journals.aps.org/prl/abstract/10.1103/6z32-3zf4;
Singal, A. K. (2025). Solar peculiar motion inferred from dipole anisotropy in redshift distribution of quasars appears to lie along the Galactic Centre direction. Scientific Reports, 15, 31805.|https://arXiv.org/abs/2508.20769",,,,,20250607-long
20251116-long,Why Alternatives Can’t Pass Cosmology’s Big Test,https://youtu.be/g7_JZJzVuqs,2025-11-16,ΛCDM;CMBR;Plasma Cosmology;Alternative Cosmology,"The CMB power spectrum is often treated as the final barrier every cosmological model must pass. But what happens when the test is built on assumptions unique to ΛCDM? This video explores how circular reasoning, tuning, and hidden dependencies create a perfect closed loop — one that locks out alternative theories before they even begin.",,,"Unnikrishnan, C. S. (2022). Cosmic Relativity: The Fundamental Theory of Relativity, Gravitation and Cosmology. World Scientific Publishing. (→ Proposes that relativity and inertia arise from interaction with a real cosmic gravitational background, offers a living-field interpretation of the CMB.)|https://doi.org/10.1142/q0401;Peratt, A. L. (2015). Physics of the Plasma Universe (2nd ed.). Springer. 
(→ Foundational text on cosmic-scale plasma processes, current-driven filaments, double layers, and laboratory analogs of large-scale structure.)|https://doi.org/10.1007/978-1-4614-0253-2;

",,,"Pryke, C. (2000). BOOMERanG experiment logbook entry for 22 September 2000.|http://find.spa.umn.edu/~pryke/logbook/20000922/;Winther, J. (n.d.). CMB Analysis: Milestone 4 – Acoustic peak reproduction.|https://cmb.wintherscoming.no/milestone4.php;
",20250930-long;20250607-long;20241117-long;20240922-long
20251028-long,How ΛCDM Fakes the Cosmic Web,https://youtu.be/IfWYodUWJW4,2025-10-28,ΛCDM;Timeline;Structure Formation,"Cosmologists claim the Big Bang model predicts the vast cosmic web of galaxies,  but what if the web was built into the model from the start?
In this episode, we explore how simulations of the ΛCDM universe quietly force structure to appear: from Zel’dovich’s early geometric shortcuts to the artificial fixes that make dark matter filaments hold together.
The result isn’t a universe discovered through physics.  It’s one shaped by mathematical assumptions.",,The Hidden Role of Anisotropies in Shaping Structure Formation in Cosmological N-Body Simulations|https://arxiv.org/abs/2508.13765,,,,,20250504-long
20250930-long,The Anchor of Modern Cosmology Just Shattered,https://youtu.be/OywWThFmEII,2025-09-30,ΛCDM;CMBR;Quasar,"A new anomaly has shaken one of the cornerstones of modern cosmology.
The Cosmic Microwave Background (CMB) has long been used to anchor our motion through the universe. But new observations of quasar motions tell a different story — one that can’t be reconciled with the standard model (ΛCDM).",,"Singal, A. K. (2025). Solar peculiar motion inferred from dipole anisotropy in redshift distribution of quasars appears to lie along the Galactic Centre direction. Scientific Reports, 15, 31805.|https://arXiv.org/abs/2508.20769",,,SDSS DR17|https://www.sdss.org/,,20250637-long;20241117-long
20250920-long,The New Observation No Patch Can Cover Up,https://youtu.be/QJ7anmAee54,2025-09-20,ΛCDM;Redshift;Timeline;Galaxy,"A new astronomical observation is putting the Big Bang model under serious strain. For decades, cosmology has relied on adding “patches” — dark matter, dark energy, inflation — to cover problems in the theory. But this time, no patch seems enough. In this video, we’ll explore what the latest evidence means, why it challenges the foundations of the ΛCDM model, and whether it signals the need for a completely different way of understanding the universe.",,Mysteries of Capotauro -- investigating the puzzling nature of an extreme F356W-dropout|https://arxiv.org/abs/2509.01664,,,,,20250930-long;20250913-long
20250913-long,JWST’s Deepest Look Shatters the Big Bang Timeline,https://youtu.be/EOowNVML4_I,2025-09-13,ΛCDM;Redshift;Timeline;Galaxy,"The early universe was supposed to be dark, neutral, and simple — not filled with galaxies. Yet JWST may have found them anyway, deep in the so-called Dark Ages, just 110–120 million years after the Big Bang. If these extreme redshift candidates are real, they don’t just stretch the Big Bang model — they break it. Galaxies this early are too bright, too compact, too abundant, and far too soon for the timeline to handle.",,"Pérez-González et al. (2025) — The Rise of the Galactic Empire: Candidate z ~ 17–25 Galaxies from JWST MIRI Deep Imaging Survey and NGDEEP|https://arxiv.org/abs/2503.15594;Ferrara et al. (2025) — Primordial Black Holes as the Origin of Ultra-High Redshift (z ~ 25) Sources Detected by JWST|https://arxiv.org/abs/2503.18850;Fan, Carilli & Keating (2006) — Observational Constraints on Cosmic Reionization|https://arxiv.org/abs/astro-ph/0602375",,,,,20250624-long;20250920-long
20250830-long,The Force That Physics Erased: Ampère’s Forgotten Law,https://youtu.be/YHykWjtVdNM,2025-08-30,Physics;Magnetism;History,"We’re all taught that moving charges create magnetic fields. But 200 years ago, André-Marie Ampère discovered something deeper: a direct force law between currents — one that explained both attraction and repulsion without invoking fields at all. James Clerk Maxwell called it “one of the most brilliant achievements in science.” And yet, within a few decades, it was forgotten — replaced by the field-based picture of Faraday, Grassmann, Neumann, Lorentz, and finally Maxwell’s own equations.",,"Ampère, A.-M. (1822). Mémoire sur la théorie mathématique des phénomènes électrodynamiques, uniquement déduite de l’expérience. (English translation: André Koch Torres Assis, Ampère’s Electrodynamics, C. Roy Keys Inc., 2015).|http://www.ifi.unicamp.br/~assis/Amperes-Electrodynamics.pdf;Assis, A. K. T. (1994). Kirchhoff on the Propagation Velocity of Electrodynamic Actions.
Apeiron 19, 19–25. (Translation and commentary on Kirchhoff’s 1857 paper).;Graneau, P. (1985). Ampère–Neumann Electrodynamics of Metals. Hadronic Press.|https://archive.org/details/Ampere-NeumannElectrodynamicsOfMetals/mode/2up;Graneau, P., & Graneau, N. (1996). Newtonian Electrodynamics. World Scientific.|https://archive.org/details/NewtonianElectrodynamics/mode/2up;Graneau, N., & Graneau, P. (2006). In the Grip of the Distant Universe: The Science of Inertia. World Scientific.;Assis, A. K. T., & Graneau, P. (1994). Kirchoff on the Motion of Electricity in Conductors.|https://www.ifi.unicamp.br/~assis/Apeiron-V19-p19-25(1994).pdf;Graneau, N. (2025). Fundamental longitudinal electromagnetic (EM) force investigation using DC current.|https://arxiv.org/abs/2504.08749;DIE MATHEMATISCHEN GESETZE DER INDUCIRTEN ELEKTRISCHEN STRÖME VON FRANZ NEUMANN. (1845)|https://ia601603.us.archive.org/7/items/diemathematische00neumuoft/diemathematische00neumuoft.pdf",,,,André Assis translations|https://www.ifi.unicamp.br/~assis/,
20250802-long,The Filament Mystery at All Scales: A Problem for Modern Cosmology,https://youtu.be/o1cvo7NEtxQ,2025-08-02,Plasma;Plasma Cosmology;Structure Formation;MHD,"Across the cosmos, we see an extraordinary pattern: long, narrow filaments of gas and plasma stretching through space, in star-forming regions, around galaxies, and across the vast cosmic web. But there's a problem. These filaments appear at vastly different scales, yet they share strikingly similar properties: consistent width, coherence, and resilience. Standard cosmology struggles to explain them. Gravity alone shouldn't produce such thread-like structures, especially not ones that persist even as stars form along their length. And at the largest scales, theorists invoke invisible scaffolds of dark matter to hold the plasma in place, despite no direct observational evidence. In this episode, we explore why these cosmic filaments defy the standard model, how laboratory plasma experiments reveal a very different kind of self-organization, and what this might mean for how we understand the structure of the universe itself.",,"Arzoumanian, D., André, P., Didelon, P., et al. (2011). Characterizing interstellar filaments with Herschel in IC 5146 A&A, 529, L6. (→ Shows the consistent ~0.1 pc width of filaments in molecular clouds.)|https://doi.org/10.1051/0004-6361/201116596;André, P., Di Francesco, J., Ward-Thompson, D., et al. (2014).
From Filamentary Networks to Dense Cores in Molecular Clouds: Toward a New Paradigm for Star Formation
Protostars and Planets VI, 27–51.(→ Overview of star formation along filaments and their structural coherence.)|https://doi.org/10.2458/azu_uapress_9780816531240-ch002;Kukushkin, A. B., & Rantsev-Kartinov, V. A. (1998).
Structural features of plasma filaments in Z-pinch discharges and in cosmic phenomena
Laser and Particle Beams, 16(3), 445–464.(→ Details the multilevel dynamical contrasting technique and filamentary structures in Z-pinches.)|https://doi.org/10.1017/S0263034600009616; Rantsev-Kartinov, V. A. (2004).
Skeletal structures of the ocean, atmosphere and cosmic plasma (→ Broad proposal of filamentary networks across multiple environments.)|https://arxiv.org/abs/physics/0401139;Tempel, E., Stoica, R. S., Martínez, V. J., et al. (2014).
Detecting filamentary patterns in the cosmic web: a catalogue of filaments for the SDSS
MNRAS, 438(4), 3465–3482. (→ Filament detection on cosmological scales and structural coherence.)|https://doi.org/10.1093/mnras/stt2454;Libeskind, N. I., et al. (2018).
Tracing the cosmic web
MNRAS, 473(1), 1195–1217.(→ On the dynamical nature and connectivity of galactic-scale filaments.)|https://doi.org/10.1093/mnras/stx2349","Uman, M. A. (2001). The Lightning Discharge Dover Publications. → Comprehensive textbook on lightning physics and double-ended tree structure.;Rakov, V. A., & Uman, M. A. (2003).
Lightning: Physics and Effects
Cambridge University Press.
→ Covers polarity asymmetry and leader propagation behavior.",,,,20250720-long
